Epoch	Score
1	0.1892
2	0.1903
3	0.1908
4	0.209
5	0.2901
6	0.4355
7	0.5788
8	0.6549
9	0.6986
10	0.7324
11	0.7566
12	0.771
13	0.7816
14	0.7872
15	0.7988
16	0.8042
17	0.8089
18	0.8225
19	0.8251
20	0.8266
21	0.83
22	0.8313
23	0.834
24	0.845
25	0.8443
26	0.846
27	0.8522
28	0.8555
29	0.8577
30	0.8597
31	0.8622
32	0.8599
33	0.8681
34	0.8701
35	0.8684
36	0.871
37	0.877
38	0.8757
39	0.8823
40	0.8813
41	0.8792
42	0.8806
43	0.8839
44	0.8894
45	0.8844
46	0.8916
47	0.8931
48	0.8943
49	0.8947
50	0.8965
51	0.8975
52	0.899
53	0.901
54	0.9034
55	0.9043
56	0.9033
57	0.9076
58	0.9081
59	0.9087
60	0.9114
61	0.9093
62	0.9117
63	0.9131
64	0.9188
65	0.9164
66	0.9182
67	0.9174
68	0.9207
69	0.9233
70	0.925
71	0.9274
72	0.9262
73	0.926
74	0.9258
75	0.9295
76	0.9305
77	0.9325
78	0.9326
79	0.9347
80	0.9322
