Epoch	Score
1	0.1885
2	0.1904
3	0.2266
4	0.3887
5	0.5544
6	0.6445
7	0.6942
8	0.7305
9	0.7535
10	0.7722
11	0.7916
12	0.8018
13	0.8144
14	0.8196
15	0.8331
16	0.843
17	0.843
18	0.8532
19	0.8617
20	0.867
21	0.8717
22	0.8752
23	0.8773
24	0.8819
25	0.8862
26	0.8877
27	0.892
28	0.8989
29	0.9017
30	0.9045
31	0.9067
32	0.9082
33	0.911
34	0.9131
35	0.9183
36	0.9172
37	0.9238
38	0.9274
39	0.9284
40	0.9291
41	0.9305
42	0.9325
43	0.9367
44	0.9391
45	0.9385
46	0.941
47	0.9445
48	0.9439
49	0.9476
50	0.9529
51	0.9507
52	0.9502
53	0.9558
54	0.9581
55	0.9592
56	0.9616
57	0.9619
58	0.9627
59	0.9635
60	0.9634
61	0.9638
62	0.9664
63	0.968
64	0.9686
65	0.9708
66	0.9719
67	0.9703
68	0.974
69	0.9754
70	0.9738
71	0.9755
72	0.9772
73	0.977
74	0.9785
75	0.9782
76	0.9819
77	0.9794
78	0.981
79	0.9812
80	0.9801
