Epoch	Score
1	0.1883
2	0.19
3	0.1909
4	0.1908
5	0.1911
6	0.1986
7	0.236
8	0.3212
9	0.4263
10	0.4985
11	0.5489
12	0.579
13	0.6071
14	0.619
15	0.6394
16	0.6493
17	0.6549
18	0.6644
19	0.6752
20	0.6765
21	0.6855
22	0.6908
23	0.6956
24	0.6961
25	0.7027
26	0.7109
27	0.7148
28	0.7182
29	0.7185
30	0.7236
31	0.7246
32	0.7337
33	0.7343
34	0.7357
35	0.7388
36	0.7374
37	0.7442
38	0.7423
39	0.7513
40	0.7505
41	0.7539
42	0.7503
43	0.7597
44	0.7584
45	0.7601
46	0.7644
47	0.768
48	0.7696
49	0.7697
50	0.7755
51	0.7796
52	0.7782
53	0.7845
54	0.7899
55	0.7855
56	0.7874
57	0.7906
58	0.7912
59	0.7947
60	0.7961
61	0.795
62	0.7974
63	0.7993
64	0.8024
65	0.805
66	0.8077
67	0.8019
68	0.8126
69	0.8109
70	0.8096
71	0.8113
72	0.811
73	0.8148
74	0.8135
75	0.8197
76	0.8212
77	0.8179
78	0.8223
79	0.8234
80	0.8259
