Epoch	Score
1	0.1894
2	0.2559
3	0.6101
4	0.765
5	0.829
6	0.8546
7	0.8761
8	0.8865
9	0.8962
10	0.9075
11	0.9174
12	0.9221
13	0.9208
14	0.9301
15	0.9397
16	0.9472
17	0.9442
18	0.9489
19	0.9572
20	0.957
21	0.9558
22	0.9628
23	0.9564
24	0.9664
25	0.9671
26	0.9692
27	0.9664
28	0.9713
29	0.9669
30	0.9691
31	0.9725
32	0.9727
33	0.9684
34	0.9695
35	0.9759
36	0.982
37	0.9752
38	0.9727
39	0.975
40	0.9808
41	0.9755
42	0.9815
43	0.9767
44	0.9768
45	0.9788
46	0.9812
47	0.9756
48	0.9824
49	0.981
50	0.9813
51	0.9794
52	0.9788
53	0.9801
54	0.9859
55	0.981
56	0.9882
57	0.9877
58	0.9836
59	0.9806
60	0.9825
61	0.9868
62	0.9832
63	0.9833
64	0.9865
65	0.9835
66	0.9822
67	0.981
68	0.9831
69	0.9836
70	0.9864
71	0.9889
72	0.9866
73	0.9843
74	0.9876
75	0.9807
76	0.9845
77	0.9845
78	0.9842
79	0.9888
80	0.9832
