Epoch	Score
1	0.1811
2	0.1913
3	0.2015
4	0.4877
5	0.6647
6	0.7684
7	0.8225
8	0.8513
9	0.8715
10	0.8919
11	0.8972
12	0.9105
13	0.9216
14	0.9325
15	0.9337
16	0.9457
17	0.9495
18	0.9584
19	0.9588
20	0.9604
21	0.9627
22	0.9651
23	0.967
24	0.9705
25	0.974
26	0.9712
27	0.9728
28	0.9784
29	0.9806
30	0.9836
31	0.983
32	0.9824
33	0.9814
34	0.9837
35	0.9826
36	0.9834
37	0.9824
38	0.9827
39	0.9859
40	0.9847
41	0.9874
42	0.9815
43	0.9854
44	0.9858
45	0.9886
46	0.9879
47	0.9898
48	0.9862
49	0.9855
50	0.9848
51	0.9892
52	0.9875
53	0.9888
54	0.987
55	0.9914
56	0.9888
57	0.9901
58	0.9867
59	0.9888
60	0.9884
61	0.9904
62	0.9884
63	0.9884
64	0.9912
65	0.9917
66	0.9893
67	0.9921
68	0.9867
69	0.9865
70	0.9897
71	0.9897
72	0.9857
73	0.9909
74	0.9917
75	0.9916
76	0.9913
77	0.9924
78	0.9924
79	0.9897
80	0.993
