Epoch	Score
1	0.1853
2	0.2187
3	0.5399
4	0.7093
5	0.7938
6	0.8351
7	0.8624
8	0.8826
9	0.8955
10	0.9103
11	0.9253
12	0.9298
13	0.9397
14	0.9465
15	0.9509
16	0.9552
17	0.9599
18	0.9658
19	0.9671
20	0.9732
21	0.9727
22	0.9741
23	0.9757
24	0.976
25	0.9761
26	0.9759
27	0.9807
28	0.9806
29	0.9785
30	0.9796
31	0.9825
32	0.9812
33	0.9834
34	0.9832
35	0.9827
36	0.985
37	0.9805
38	0.9825
39	0.9846
40	0.9838
41	0.9857
42	0.9844
43	0.9861
44	0.9841
45	0.9856
46	0.9865
47	0.9852
48	0.9858
49	0.9877
50	0.9854
51	0.9875
52	0.9877
53	0.9849
54	0.9854
55	0.9876
56	0.9869
57	0.9905
58	0.9877
59	0.9859
60	0.988
61	0.9886
62	0.9896
63	0.9892
64	0.9893
65	0.9891
66	0.9887
67	0.9875
68	0.9892
69	0.9855
70	0.9894
71	0.9898
72	0.9873
73	0.9878
74	0.9869
75	0.9894
76	0.9894
77	0.9886
78	0.9908
79	0.9878
80	0.9866
