Epoch	Score
1	0.1839
2	0.2843
3	0.5791
4	0.7577
5	0.8132
6	0.8495
7	0.8728
8	0.8939
9	0.9018
10	0.9185
11	0.9219
12	0.935
13	0.9406
14	0.9506
15	0.9512
16	0.9549
17	0.9592
18	0.9668
19	0.9678
20	0.968
21	0.9721
22	0.9716
23	0.9705
24	0.97
25	0.9764
26	0.9713
27	0.9755
28	0.9739
29	0.9795
30	0.977
31	0.9797
32	0.9793
33	0.9792
34	0.9824
35	0.9814
36	0.9788
37	0.9807
38	0.9803
39	0.9801
40	0.9808
41	0.9841
42	0.9844
43	0.982
44	0.9839
45	0.9807
46	0.983
47	0.9817
48	0.9838
49	0.9823
50	0.9814
51	0.9803
52	0.983
53	0.9856
54	0.9841
55	0.9824
56	0.9861
57	0.9832
58	0.9851
59	0.9844
60	0.9834
61	0.9863
62	0.9866
63	0.985
64	0.9854
65	0.9836
66	0.986
67	0.9843
68	0.9856
69	0.9881
70	0.9868
71	0.9856
72	0.9867
73	0.9866
74	0.9874
75	0.9865
76	0.9885
77	0.9864
78	0.9877
79	0.9866
80	0.9877
