Epoch	Score
1	0.1847
2	0.2267
3	0.3756
4	0.4591
5	0.5059
6	0.5294
7	0.5445
8	0.5624
9	0.5773
10	0.5908
11	0.5984
12	0.5992
13	0.6137
14	0.6188
15	0.6287
16	0.6421
17	0.6452
18	0.6523
19	0.6619
20	0.6759
21	0.6785
22	0.6942
23	0.7062
24	0.7119
25	0.7197
26	0.7288
27	0.7319
28	0.7404
29	0.7454
30	0.7529
31	0.7539
32	0.7596
33	0.7603
34	0.763
35	0.7757
36	0.7741
37	0.7841
38	0.7764
39	0.7786
40	0.7862
41	0.7897
42	0.7968
43	0.7913
44	0.7963
45	0.8028
46	0.7995
47	0.7996
48	0.8061
49	0.8059
50	0.806
