Epoch	Score
1	0.2147
2	0.4288
3	0.6342
4	0.7334
5	0.7602
6	0.7882
7	0.8096
8	0.8302
9	0.8344
10	0.8454
11	0.8577
12	0.8615
13	0.854
14	0.8672
15	0.8706
16	0.8665
17	0.8598
18	0.8418
19	0.8607
20	0.8664
21	0.8634
22	0.8588
23	0.8405
24	0.8391
25	0.8318
26	0.8291
27	0.8519
28	0.8471
29	0.824
30	0.8177
31	0.7944
32	0.8068
33	0.8138
34	0.8015
35	0.7659
36	0.7894
37	0.7886
38	0.7768
39	0.7729
40	0.7264
41	0.7608
42	0.7606
43	0.7388
44	0.7403
45	0.737
46	0.6884
47	0.7086
48	0.7098
49	0.7016
50	0.6635
