Epoch	Score
1	0.2152
2	0.4437
3	0.6801
4	0.7575
5	0.7997
6	0.8262
7	0.8438
8	0.854
9	0.8736
10	0.8732
11	0.8836
12	0.8924
13	0.8985
14	0.9081
15	0.9033
16	0.9075
17	0.9179
18	0.9203
19	0.9192
20	0.9228
21	0.9252
22	0.9289
23	0.9295
24	0.9203
25	0.9303
26	0.9339
27	0.9334
28	0.9339
29	0.9379
30	0.9333
31	0.9334
32	0.9352
33	0.9323
34	0.9381
35	0.9341
36	0.9239
37	0.9225
38	0.9267
39	0.9243
40	0.9227
41	0.9305
42	0.9321
43	0.9258
44	0.9324
45	0.9239
46	0.9278
47	0.9299
48	0.9184
49	0.9173
50	0.9148
