Epoch	Score
1	0.2258
2	0.4449
3	0.6545
4	0.7424
5	0.7779
6	0.8072
7	0.8273
8	0.8423
9	0.8552
10	0.8608
11	0.8633
12	0.8746
13	0.8805
14	0.8827
15	0.8856
16	0.8938
17	0.894
18	0.9005
19	0.8938
20	0.8998
21	0.8926
22	0.9029
23	0.8981
24	0.8829
25	0.8819
26	0.8953
27	0.885
28	0.895
29	0.8863
30	0.8826
31	0.8557
32	0.8523
33	0.8619
34	0.8494
35	0.8471
36	0.8311
37	0.8579
38	0.8187
39	0.8379
40	0.8129
41	0.8251
42	0.7936
43	0.7859
44	0.8026
45	0.7632
46	0.7576
47	0.7477
48	0.7338
49	0.7439
50	0.7563
