Epoch	Score
1	0.1874
2	0.2373
3	0.4348
4	0.6295
5	0.7183
6	0.7674
7	0.7933
8	0.8161
9	0.8367
10	0.8444
11	0.8549
12	0.8646
13	0.8779
14	0.8867
15	0.8916
16	0.8935
17	0.9008
18	0.9103
19	0.9123
20	0.9213
21	0.9239
22	0.9276
23	0.9312
24	0.9383
25	0.94
26	0.9446
27	0.9442
28	0.9501
29	0.9523
30	0.9533
31	0.9576
32	0.9618
33	0.9604
34	0.9628
35	0.9649
36	0.9666
37	0.9676
38	0.968
39	0.9716
40	0.9729
41	0.9722
42	0.9713
43	0.9807
44	0.9774
45	0.9746
46	0.9776
47	0.9796
48	0.9803
49	0.9835
50	0.9806
